"Height ""","Width """,Container,Material,Liner,Finish,Quantity,Cost
3.625,6.5,12oz Can,Metal BOPP ,PET,Matte,2500,0.105
3.625,6.5,12oz Can,Metal BOPP ,PET,Matte,5000,0.095
3.625,6.5,12oz Can,Metal BOPP ,PET,Matte,7500,0.09
3.625,6.5,12oz Can,Metal BOPP ,PET,Matte,10000,0.085
3.625,6.5,12oz Can,Metal BOPP ,PET,Matte,15000,0.08
3.625,6.5,12oz Can,Metal BOPP ,PET,Matte,20000,0.08
3.625,6.5,12oz Can,Metal BOPP ,PET,Matte,50000,0.075
3.625,6.5,12oz Can,Metal BOPP ,PET,Matte,75000,0.075
3.625,6.5,12oz Can,Metal BOPP ,PET,Matte,100000,0.073
3.625,6.5,12oz Can,Metal BOPP ,PET,Matte,400000,0.07
3.625,6.5,12oz Can,Metal BOPP ,PET,Matte,800000,0.067
3.625,6.5,12oz Can,Metal BOPP ,PET,Matte,1000000,0.065
3.625,6.5,12oz Can,White BOPP,PET,Gloss,1000,0.109
3.625,6.5,12oz Can,White BOPP,PET,Gloss,2500,0.099
3.625,6.5,12oz Can,White BOPP,PET,Gloss,5000,0.089
3.625,6.5,12oz Can,White BOPP,PET,Gloss,7500,0.084
3.625,6.5,12oz Can,White BOPP,PET,Gloss,10000,0.079
3.625,6.5,12oz Can,White BOPP,PET,Gloss,15000,0.074
3.625,6.5,12oz Can,White BOPP,PET,Gloss,20000,0.074
3.625,6.5,12oz Can,White BOPP,PET,Gloss,50000,0.069
3.625,6.5,12oz Can,White BOPP,PET,Gloss,75000,0.069
3.625,6.5,12oz Can,White BOPP,PET,Gloss,100000,0.067
3.625,6.5,12oz Can,White BOPP,PET,Gloss,400000,0.064
3.625,6.5,12oz Can,White BOPP,PET,Gloss,800000,0.061
3.625,6.5,12oz Can,White BOPP,PET,Gloss,1000000,0.059
3.625,6.5,12oz Can,White BOPP,PET,Matte,1000,0.111
3.625,6.5,12oz Can,White BOPP,PET,Matte,2500,0.101
3.625,6.5,12oz Can,White BOPP,PET,Matte,5000,0.091
3.625,6.5,12oz Can,White BOPP,PET,Matte,7500,0.086
3.625,6.5,12oz Can,White BOPP,PET,Matte,10000,0.081
3.625,6.5,12oz Can,White BOPP,PET,Matte,15000,0.076
3.625,6.5,12oz Can,White BOPP,PET,Matte,20000,0.076
3.625,6.5,12oz Can,White BOPP,PET,Matte,50000,0.071
3.625,6.5,12oz Can,White BOPP,PET,Matte,75000,0.071
3.625,6.5,12oz Can,White BOPP,PET,Matte,100000,0.069
3.625,6.5,12oz Can,White BOPP,PET,Matte,400000,0.066
3.625,6.5,12oz Can,White BOPP,PET,Matte,800000,0.063
3.625,6.5,12oz Can,White BOPP,PET,Matte,1000000,0.061
3.625,7.5,12oz Can,Metal BOPP ,PET,Gloss,1000,0.116
3.625,7.5,12oz Can,Metal BOPP ,PET,Gloss,2500,0.106
3.625,7.5,12oz Can,Metal BOPP ,PET,Gloss,5000,0.096
3.625,7.5,12oz Can,Metal BOPP ,PET,Gloss,7500,0.091
3.625,7.5,12oz Can,Metal BOPP ,PET,Gloss,10000,0.086
3.625,7.5,12oz Can,Metal BOPP ,PET,Gloss,15000,0.081
3.625,7.5,12oz Can,Metal BOPP ,PET,Gloss,20000,0.081
3.625,7.5,12oz Can,Metal BOPP ,PET,Gloss,50000,0.076
3.625,7.5,12oz Can,Metal BOPP ,PET,Gloss,75000,0.076
3.625,7.5,12oz Can,Metal BOPP ,PET,Gloss,100000,0.074
3.625,7.5,12oz Can,Metal BOPP ,PET,Gloss,400000,0.071
3.625,7.5,12oz Can,Metal BOPP ,PET,Gloss,800000,0.068
3.625,7.5,12oz Can,Metal BOPP ,PET,Gloss,1000000,0.066
3.625,7.5,12oz Can,Metal BOPP ,PET,Matte,1000,0.118
3.625,7.5,12oz Can,Metal BOPP ,PET,Matte,2500,0.108
3.625,7.5,12oz Can,Metal BOPP ,PET,Matte,5000,0.098
3.625,7.5,12oz Can,Metal BOPP ,PET,Matte,7500,0.093
3.625,7.5,12oz Can,Metal BOPP ,PET,Matte,10000,0.088
3.625,7.5,12oz Can,Metal BOPP ,PET,Matte,15000,0.083
3.625,7.5,12oz Can,Metal BOPP ,PET,Matte,20000,0.083
3.625,7.5,12oz Can,Metal BOPP ,PET,Matte,50000,0.078
3.625,7.5,12oz Can,Metal BOPP ,PET,Matte,75000,0.078
3.625,7.5,12oz Can,Metal BOPP ,PET,Matte,100000,0.076
3.625,7.5,12oz Can,Metal BOPP ,PET,Matte,400000,0.073
3.625,7.5,12oz Can,Metal BOPP ,PET,Matte,800000,0.07
3.625,7.5,12oz Can,Metal BOPP ,PET,Matte,1000000,0.068
3.625,7.5,12oz Can,White BOPP,PET,Gloss,1000,0.112
3.625,7.5,12oz Can,White BOPP,PET,Gloss,2500,0.102
3.625,7.5,12oz Can,White BOPP,PET,Gloss,5000,0.092
3.625,7.5,12oz Can,White BOPP,PET,Gloss,7500,0.087
3.625,7.5,12oz Can,White BOPP,PET,Gloss,10000,0.082
3.625,7.5,12oz Can,White BOPP,PET,Gloss,15000,0.077
3.625,7.5,12oz Can,White BOPP,PET,Gloss,20000,0.077
3.625,7.5,12oz Can,White BOPP,PET,Gloss,50000,0.072
3.625,7.5,12oz Can,White BOPP,PET,Gloss,75000,0.072
3.625,7.5,12oz Can,White BOPP,PET,Gloss,100000,0.07
3.625,7.5,12oz Can,White BOPP,PET,Gloss,400000,0.067
3.625,7.5,12oz Can,White BOPP,PET,Gloss,800000,0.064
3.625,7.5,12oz Can,White BOPP,PET,Gloss,1000000,0.062
3.625,7.5,12oz Can,White BOPP,PET,Matte,1000,0.114
3.625,7.5,12oz Can,White BOPP,PET,Matte,2500,0.104
3.625,7.5,12oz Can,White BOPP,PET,Matte,5000,0.094
3.625,7.5,12oz Can,White BOPP,PET,Matte,7500,0.089
3.625,7.5,12oz Can,White BOPP,PET,Matte,10000,0.084
3.625,7.5,12oz Can,White BOPP,PET,Matte,15000,0.079
3.625,7.5,12oz Can,White BOPP,PET,Matte,20000,0.079
3.625,7.5,12oz Can,White BOPP,PET,Matte,50000,0.074
3.625,7.5,12oz Can,White BOPP,PET,Matte,75000,0.074
3.625,7.5,12oz Can,White BOPP,PET,Matte,100000,0.072
3.625,7.5,12oz Can,White BOPP,PET,Matte,400000,0.069
3.625,7.5,12oz Can,White BOPP,PET,Matte,800000,0.066
3.625,7.5,12oz Can,White BOPP,PET,Matte,1000000,0.064
3.625,8,12oz Can,Metal BOPP ,PET,Gloss,1000,0.117
3.625,8,12oz Can,Metal BOPP ,PET,Gloss,2500,0.107
3.625,8,12oz Can,Metal BOPP ,PET,Gloss,5000,0.097
3.625,8,12oz Can,Metal BOPP ,PET,Gloss,7500,0.092
3.625,8,12oz Can,Metal BOPP ,PET,Gloss,10000,0.087
3.625,8,12oz Can,Metal BOPP ,PET,Gloss,15000,0.082
3.625,8,12oz Can,Metal BOPP ,PET,Gloss,20000,0.082
3.625,8,12oz Can,Metal BOPP ,PET,Gloss,50000,0.077
3.625,8,12oz Can,Metal BOPP ,PET,Gloss,75000,0.077
3.625,8,12oz Can,Metal BOPP ,PET,Gloss,100000,0.075
3.625,8,12oz Can,Metal BOPP ,PET,Gloss,400000,0.072
3.625,8,12oz Can,Metal BOPP ,PET,Gloss,800000,0.069
3.625,8,12oz Can,Metal BOPP ,PET,Gloss,1000000,0.067
3.625,8,12oz Can,Metal BOPP ,PET,Matte,1000,0.119
3.625,8,12oz Can,Metal BOPP ,PET,Matte,2500,0.109
3.625,8,12oz Can,Metal BOPP ,PET,Matte,5000,0.099
3.625,8,12oz Can,Metal BOPP ,PET,Matte,7500,0.094
3.625,8,12oz Can,Metal BOPP ,PET,Matte,10000,0.089
3.625,8,12oz Can,Metal BOPP ,PET,Matte,15000,0.084
3.625,8,12oz Can,Metal BOPP ,PET,Matte,20000,0.084
3.625,8,12oz Can,Metal BOPP ,PET,Matte,50000,0.079
3.625,8,12oz Can,Metal BOPP ,PET,Matte,75000,0.079
3.625,8,12oz Can,Metal BOPP ,PET,Matte,100000,0.077
3.625,8,12oz Can,Metal BOPP ,PET,Matte,400000,0.074
3.625,8,12oz Can,Metal BOPP ,PET,Matte,800000,0.071
3.625,8,12oz Can,Metal BOPP ,PET,Matte,1000000,0.069
3.625,8,12oz Can,White BOPP,PET,Gloss,1000,0.113
3.625,8,12oz Can,White BOPP,PET,Gloss,2500,0.103
3.625,8,12oz Can,White BOPP,PET,Gloss,5000,0.093
3.625,8,12oz Can,White BOPP,PET,Gloss,7500,0.088
3.625,8,12oz Can,White BOPP,PET,Gloss,10000,0.083
3.625,8,12oz Can,White BOPP,PET,Gloss,15000,0.078
3.625,8,12oz Can,White BOPP,PET,Gloss,20000,0.078
3.625,8,12oz Can,White BOPP,PET,Gloss,50000,0.073
3.625,8,12oz Can,White BOPP,PET,Gloss,75000,0.073
3.625,8,12oz Can,White BOPP,PET,Gloss,100000,0.071
3.625,8,12oz Can,White BOPP,PET,Gloss,400000,0.068
3.625,8,12oz Can,White BOPP,PET,Gloss,800000,0.065
3.625,8,12oz Can,White BOPP,PET,Gloss,1000000,0.063
3.625,8,12oz Can,White BOPP,PET,Matte,1000,0.115
3.625,8,12oz Can,White BOPP,PET,Matte,2500,0.105
3.625,8,12oz Can,White BOPP,PET,Matte,5000,0.095
3.625,8,12oz Can,White BOPP,PET,Matte,7500,0.09
3.625,8,12oz Can,White BOPP,PET,Matte,10000,0.085
3.625,8,12oz Can,White BOPP,PET,Matte,15000,0.08
3.625,8,12oz Can,White BOPP,PET,Matte,20000,0.08
3.625,8,12oz Can,White BOPP,PET,Matte,50000,0.075
3.625,8,12oz Can,White BOPP,PET,Matte,75000,0.075
3.625,8,12oz Can,White BOPP,PET,Matte,100000,0.073
3.625,8,12oz Can,White BOPP,PET,Matte,400000,0.07
3.625,8,12oz Can,White BOPP,PET,Matte,800000,0.067
3.625,8,12oz Can,White BOPP,PET,Matte,1000000,0.065
5,6.5,16oz Can,Metal BOPP ,PET,Gloss,1000,0.126
5,6.5,16oz Can,Metal BOPP ,PET,Gloss,2500,0.116
5,6.5,16oz Can,Metal BOPP ,PET,Gloss,5000,0.106
5,6.5,16oz Can,Metal BOPP ,PET,Gloss,7500,0.101
5,6.5,16oz Can,Metal BOPP ,PET,Gloss,10000,0.096
5,6.5,16oz Can,Metal BOPP ,PET,Gloss,15000,0.091
5,6.5,16oz Can,Metal BOPP ,PET,Gloss,20000,0.091
5,6.5,16oz Can,Metal BOPP ,PET,Gloss,50000,0.086
5,6.5,16oz Can,Metal BOPP ,PET,Gloss,75000,0.086
5,6.5,16oz Can,Metal BOPP ,PET,Gloss,100000,0.084
5,6.5,16oz Can,Metal BOPP ,PET,Gloss,400000,0.081
5,6.5,16oz Can,Metal BOPP ,PET,Gloss,800000,0.078
5,6.5,16oz Can,Metal BOPP ,PET,Gloss,1000000,0.076
5,6.5,16oz Can,Metal BOPP ,PET,Matte,1000,0.128
5,6.5,16oz Can,Metal BOPP ,PET,Matte,2500,0.118
5,6.5,16oz Can,Metal BOPP ,PET,Matte,5000,0.108
5,6.5,16oz Can,Metal BOPP ,PET,Matte,7500,0.103
5,6.5,16oz Can,Metal BOPP ,PET,Matte,10000,0.098
5,6.5,16oz Can,Metal BOPP ,PET,Matte,15000,0.093
5,6.5,16oz Can,Metal BOPP ,PET,Matte,20000,0.093
5,6.5,16oz Can,Metal BOPP ,PET,Matte,50000,0.088
5,6.5,16oz Can,Metal BOPP ,PET,Matte,75000,0.088
5,6.5,16oz Can,Metal BOPP ,PET,Matte,100000,0.086
5,6.5,16oz Can,Metal BOPP ,PET,Matte,400000,0.083
5,6.5,16oz Can,Metal BOPP ,PET,Matte,800000,0.08
5,6.5,16oz Can,Metal BOPP ,PET,Matte,1000000,0.078
5,6.5,16oz Can,White BOPP,PET,Gloss,1000,0.122
5,6.5,16oz Can,White BOPP,PET,Gloss,2500,0.112
5,6.5,16oz Can,White BOPP,PET,Gloss,5000,0.102
5,6.5,16oz Can,White BOPP,PET,Gloss,7500,0.097
5,6.5,16oz Can,White BOPP,PET,Gloss,10000,0.092
5,6.5,16oz Can,White BOPP,PET,Gloss,15000,0.089
5,6.5,16oz Can,White BOPP,PET,Gloss,20000,0.087
5,6.5,16oz Can,White BOPP,PET,Gloss,50000,0.084
5,6.5,16oz Can,White BOPP,PET,Gloss,75000,0.082
5,6.5,16oz Can,White BOPP,PET,Gloss,100000,0.08
5,6.5,16oz Can,White BOPP,PET,Gloss,400000,0.077
5,6.5,16oz Can,White BOPP,PET,Gloss,800000,0.074
5,6.5,16oz Can,White BOPP,PET,Gloss,1000000,0.072
5,6.5,16oz Can,White BOPP,PET,Matte,1000,0.124
5,6.5,16oz Can,White BOPP,PET,Matte,2500,0.114
5,6.5,16oz Can,White BOPP,PET,Matte,5000,0.104
5,6.5,16oz Can,White BOPP,PET,Matte,7500,0.099
5,6.5,16oz Can,White BOPP,PET,Matte,10000,0.094
5,6.5,16oz Can,White BOPP,PET,Matte,15000,0.089
5,6.5,16oz Can,White BOPP,PET,Matte,20000,0.089
5,6.5,16oz Can,White BOPP,PET,Matte,50000,0.084
5,6.5,16oz Can,White BOPP,PET,Matte,75000,0.084
5,6.5,16oz Can,White BOPP,PET,Matte,100000,0.082
5,6.5,16oz Can,White BOPP,PET,Matte,400000,0.079
5,6.5,16oz Can,White BOPP,PET,Matte,800000,0.076
5,6.5,16oz Can,White BOPP,PET,Matte,1000000,0.074
5,7.5,16oz Can,Metal BOPP ,PET,Gloss,1000,0.131
5,7.5,16oz Can,Metal BOPP ,PET,Gloss,2500,0.121
5,7.5,16oz Can,Metal BOPP ,PET,Gloss,5000,0.111
5,7.5,16oz Can,Metal BOPP ,PET,Gloss,7500,0.106
5,7.5,16oz Can,Metal BOPP ,PET,Gloss,10000,0.101
5,7.5,16oz Can,Metal BOPP ,PET,Gloss,15000,0.096
5,7.5,16oz Can,Metal BOPP ,PET,Gloss,20000,0.096
5,7.5,16oz Can,Metal BOPP ,PET,Gloss,50000,0.091
5,7.5,16oz Can,Metal BOPP ,PET,Gloss,75000,0.091
5,7.5,16oz Can,Metal BOPP ,PET,Gloss,100000,0.089
5,7.5,16oz Can,Metal BOPP ,PET,Gloss,400000,0.086
5,7.5,16oz Can,Metal BOPP ,PET,Gloss,800000,0.083
5,7.5,16oz Can,Metal BOPP ,PET,Gloss,1000000,0.081
5,7.5,16oz Can,Metal BOPP ,PET,Matte,1000,0.133
5,7.5,16oz Can,Metal BOPP ,PET,Matte,2500,0.123
5,7.5,16oz Can,Metal BOPP ,PET,Matte,5000,0.113
5,7.5,16oz Can,Metal BOPP ,PET,Matte,7500,0.108
5,7.5,16oz Can,Metal BOPP ,PET,Matte,10000,0.103
5,7.5,16oz Can,Metal BOPP ,PET,Matte,15000,0.098
5,7.5,16oz Can,Metal BOPP ,PET,Matte,20000,0.098
5,7.5,16oz Can,Metal BOPP ,PET,Matte,50000,0.093
5,7.5,16oz Can,Metal BOPP ,PET,Matte,75000,0.093
5,7.5,16oz Can,Metal BOPP ,PET,Matte,100000,0.091
5,7.5,16oz Can,Metal BOPP ,PET,Matte,400000,0.088
5,7.5,16oz Can,Metal BOPP ,PET,Matte,800000,0.085
5,7.5,16oz Can,Metal BOPP ,PET,Matte,1000000,0.083
5,7.5,16oz Can,White BOPP,PET,Gloss,1000,0.126
5,7.5,16oz Can,White BOPP,PET,Gloss,2500,0.116
5,7.5,16oz Can,White BOPP,PET,Gloss,5000,0.106
5,7.5,16oz Can,White BOPP,PET,Gloss,7500,0.101
5,7.5,16oz Can,White BOPP,PET,Gloss,10000,0.096
5,7.5,16oz Can,White BOPP,PET,Gloss,15000,0.091
5,7.5,16oz Can,White BOPP,PET,Gloss,20000,0.091
5,7.5,16oz Can,White BOPP,PET,Gloss,50000,0.086
5,7.5,16oz Can,White BOPP,PET,Gloss,75000,0.086
5,7.5,16oz Can,White BOPP,PET,Gloss,100000,0.084
5,7.5,16oz Can,White BOPP,PET,Gloss,400000,0.081
5,7.5,16oz Can,White BOPP,PET,Gloss,800000,0.078
5,7.5,16oz Can,White BOPP,PET,Gloss,1000000,0.076
5,7.5,16oz Can,White BOPP,PET,Matte,1000,0.128
5,7.5,16oz Can,White BOPP,PET,Matte,2500,0.118
5,7.5,16oz Can,White BOPP,PET,Matte,5000,0.108
5,7.5,16oz Can,White BOPP,PET,Matte,7500,0.103
5,7.5,16oz Can,White BOPP,PET,Matte,10000,0.098
5,7.5,16oz Can,White BOPP,PET,Matte,15000,0.093
5,7.5,16oz Can,White BOPP,PET,Matte,20000,0.093
5,7.5,16oz Can,White BOPP,PET,Matte,50000,0.088
5,7.5,16oz Can,White BOPP,PET,Matte,75000,0.088
5,7.5,16oz Can,White BOPP,PET,Matte,100000,0.086
5,7.5,16oz Can,White BOPP,PET,Matte,400000,0.083
5,7.5,16oz Can,White BOPP,PET,Matte,800000,0.08
5,7.5,16oz Can,White BOPP,PET,Matte,1000000,0.078
5,8,16oz Can,Metal BOPP ,PET,Gloss,1000,0.132
5,8,16oz Can,Metal BOPP ,PET,Gloss,2500,0.122
5,8,16oz Can,Metal BOPP ,PET,Gloss,5000,0.112
5,8,16oz Can,Metal BOPP ,PET,Gloss,7500,0.107
5,8,16oz Can,Metal BOPP ,PET,Gloss,10000,0.102
5,8,16oz Can,Metal BOPP ,PET,Gloss,15000,0.097
5,8,16oz Can,Metal BOPP ,PET,Gloss,20000,0.097
5,8,16oz Can,Metal BOPP ,PET,Gloss,50000,0.092
5,8,16oz Can,Metal BOPP ,PET,Gloss,75000,0.092
5,8,16oz Can,Metal BOPP ,PET,Gloss,100000,0.09
5,8,16oz Can,Metal BOPP ,PET,Gloss,400000,0.087
5,8,16oz Can,Metal BOPP ,PET,Gloss,800000,0.084
5,8,16oz Can,Metal BOPP ,PET,Gloss,1000000,0.082
5,8,16oz Can,Metal BOPP ,PET,Matte,1000,0.134
5,8,16oz Can,Metal BOPP ,PET,Matte,2500,0.124
5,8,16oz Can,Metal BOPP ,PET,Matte,5000,0.114
5,8,16oz Can,Metal BOPP ,PET,Matte,7500,0.109
5,8,16oz Can,Metal BOPP ,PET,Matte,10000,0.104
5,8,16oz Can,Metal BOPP ,PET,Matte,15000,0.099
5,8,16oz Can,Metal BOPP ,PET,Matte,20000,0.099
5,8,16oz Can,Metal BOPP ,PET,Matte,50000,0.094
5,8,16oz Can,Metal BOPP ,PET,Matte,75000,0.094
5,8,16oz Can,Metal BOPP ,PET,Matte,100000,0.092
5,8,16oz Can,Metal BOPP ,PET,Matte,400000,0.089
5,8,16oz Can,Metal BOPP ,PET,Matte,800000,0.086
5,8,16oz Can,Metal BOPP ,PET,Matte,1000000,0.084
5,8,16oz Can,White BOPP,PET,Gloss,1000,0.128
5,8,16oz Can,White BOPP,PET,Gloss,2500,0.118
5,8,16oz Can,White BOPP,PET,Gloss,5000,0.108
5,8,16oz Can,White BOPP,PET,Gloss,7500,0.103
5,8,16oz Can,White BOPP,PET,Gloss,10000,0.098
5,8,16oz Can,White BOPP,PET,Gloss,15000,0.093
5,8,16oz Can,White BOPP,PET,Gloss,20000,0.093
5,8,16oz Can,White BOPP,PET,Gloss,50000,0.088
5,8,16oz Can,White BOPP,PET,Gloss,75000,0.088
5,8,16oz Can,White BOPP,PET,Gloss,100000,0.086
5,8,16oz Can,White BOPP,PET,Gloss,400000,0.083
5,8,16oz Can,White BOPP,PET,Gloss,800000,0.08
5,8,16oz Can,White BOPP,PET,Gloss,1000000,0.078
5,8,16oz Can,White BOPP,PET,Matte,1000,0.13
5,8,16oz Can,White BOPP,PET,Matte,2500,0.12
5,8,16oz Can,White BOPP,PET,Matte,5000,0.11
5,8,16oz Can,White BOPP,PET,Matte,7500,0.105
5,8,16oz Can,White BOPP,PET,Matte,10000,0.1
5,8,16oz Can,White BOPP,PET,Matte,15000,0.095
5,8,16oz Can,White BOPP,PET,Matte,20000,0.095
5,8,16oz Can,White BOPP,PET,Matte,50000,0.09
5,8,16oz Can,White BOPP,PET,Matte,75000,0.09
5,8,16oz Can,White BOPP,PET,Matte,100000,0.088
5,8,16oz Can,White BOPP,PET,Matte,400000,0.085
5,8,16oz Can,White BOPP,PET,Matte,800000,0.082
5,8,16oz Can,White BOPP,PET,Matte,1000000,0.08
5.375,7.125,12oz Sleek Can,Holographic Bopp,PET,Gloss,1000,0.3059
5.375,7.125,12oz Sleek Can,Holographic Bopp,PET,Gloss,2500,0.294975
5.375,7.125,12oz Sleek Can,Holographic Bopp,PET,Gloss,5000,0.294975
5.375,7.125,12oz Sleek Can,Holographic Bopp,PET,Gloss,7500,0.294975
5.375,7.125,12oz Sleek Can,Holographic Bopp,PET,Gloss,10000,0.290605
5.375,7.125,12oz Sleek Can,Holographic Bopp,PET,Gloss,15000,0.28405
5.375,7.125,12oz Sleek Can,Holographic Bopp,PET,Gloss,20000,0.273
5.375,7.125,12oz Sleek Can,Holographic Bopp,PET,Gloss,50000,0.2502666
5.375,7.125,12oz Sleek Can,Holographic Bopp,PET,Gloss,75000,0.23495
5.375,7.125,12oz Sleek Can,Holographic Bopp,PET,Gloss,100000,0.22995
5.375,7.125,12oz Sleek Can,Holographic Bopp,PET,Gloss,400000,0.2160864
5.375,7.125,12oz Sleek Can,Holographic Bopp,PET,Gloss,800000,0.20508
5.375,7.125,12oz Sleek Can,Holographic Bopp,PET,Gloss,1000000,0.18961065
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Gloss,1000,0.126
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Gloss,2500,0.116
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Gloss,5000,0.106
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Gloss,7500,0.101
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Gloss,10000,0.096
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Gloss,15000,0.091
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Gloss,20000,0.091
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Gloss,50000,0.086
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Gloss,75000,0.086
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Gloss,100000,0.084
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Gloss,400000,0.081
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Gloss,800000,0.078
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Gloss,1000000,0.076
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Matte,1000,0.128
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Matte,2500,0.118
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Matte,5000,0.108
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Matte,7500,0.103
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Matte,10000,0.098
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Matte,15000,0.093
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Matte,20000,0.093
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Matte,50000,0.088
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Matte,75000,0.088
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Matte,100000,0.086
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Matte,400000,0.083
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Matte,800000,0.08
5.375,7.125,12oz Sleek Can,Metal BOPP ,PET,Matte,1000000,0.078
5.375,7.125,12oz Sleek Can,White BOPP,PET,Gloss,1000,0.122
5.375,7.125,12oz Sleek Can,White BOPP,PET,Gloss,2500,0.112
5.375,7.125,12oz Sleek Can,White BOPP,PET,Gloss,5000,0.102
5.375,7.125,12oz Sleek Can,White BOPP,PET,Gloss,7500,0.097
5.375,7.125,12oz Sleek Can,White BOPP,PET,Gloss,10000,0.092
5.375,7.125,12oz Sleek Can,White BOPP,PET,Gloss,15000,0.087
5.375,7.125,12oz Sleek Can,White BOPP,PET,Gloss,20000,0.087
5.375,7.125,12oz Sleek Can,White BOPP,PET,Gloss,50000,0.082
5.375,7.125,12oz Sleek Can,White BOPP,PET,Gloss,75000,0.082
5.375,7.125,12oz Sleek Can,White BOPP,PET,Gloss,100000,0.08
5.375,7.125,12oz Sleek Can,White BOPP,PET,Gloss,400000,0.077
5.375,7.125,12oz Sleek Can,White BOPP,PET,Gloss,800000,0.074
5.375,7.125,12oz Sleek Can,White BOPP,PET,Gloss,1000000,0.072
5.375,7.125,12oz Sleek Can,White BOPP,PET,Matte,1000,0.124
5.375,7.125,12oz Sleek Can,White BOPP,PET,Matte,2500,0.114
5.375,7.125,12oz Sleek Can,White BOPP,PET,Matte,5000,0.104
5.375,7.125,12oz Sleek Can,White BOPP,PET,Matte,7500,0.099
5.375,7.125,12oz Sleek Can,White BOPP,PET,Matte,10000,0.094
5.375,7.125,12oz Sleek Can,White BOPP,PET,Matte,15000,0.089
5.375,7.125,12oz Sleek Can,White BOPP,PET,Matte,20000,0.089
5.375,7.125,12oz Sleek Can,White BOPP,PET,Matte,50000,0.084
5.375,7.125,12oz Sleek Can,White BOPP,PET,Matte,75000,0.084
5.375,7.125,12oz Sleek Can,White BOPP,PET,Matte,100000,0.082
5.375,7.125,12oz Sleek Can,White BOPP,PET,Matte,400000,0.079
5.375,7.125,12oz Sleek Can,White BOPP,PET,Matte,800000,0.076
5.375,7.125,12oz Sleek Can,White BOPP,PET,Matte,1000000,0.074
